ResellerKey	Business Type	Reseller	City	State-Province	Country-Region
248	Warehouse	Good Bicycle Store	Sulzbach Taunus	Saarland	Germany
 583	Specialty Bike Shop	Professional Containers and Packaging Co.	Surprise	Arizona	United States 
408	Warehouse	Odometers and Accessories Company	Richmond	British Columbia	Canada
392	Specialty Bike Shop	Primary Cycle Shop	Hamburg	Hamburg	Germany
243	Value Added Reseller	Recreation Supplies	Kendall	Florida	United States
 616	Specialty Bike Shop	Eastward Bike Accessories	Matraville	New South Wales	Australia 
614	Warehouse	Favorite Toy Distributor	Paris	Seine (Paris)	France
501	Specialty Bike Shop	Jumbo Bikes	Malabar	New South Wales	Australia
366	Warehouse	Extended Bike Sales	City Of Commerce	California	United States
423	Warehouse	Bike Rims Company	Biloxi	Mississippi	United States
292	Specialty Bike Shop	Grease and Oil Products Company	Houston	Texas	United States
466	Warehouse	Central Bicycle Specialists	Maidenhead	England	United Kingdom
485	Value Added Reseller	Clamps & Brackets Co.	Leesburg	Virginia	United States
525	Specialty Bike Shop	Cycles and Scooters	Byron	Georgia	United States
445	Warehouse	First Center	Pantin	Seine Saint Denis	France
378	Warehouse	Grown-up Bike Store	Springdale	Ohio	United States
 522	Specialty Bike Shop	Small Bike Accessories Shop	Cheektowaga	New York	United States 
387	Warehouse	Racing Association	Huntsville	Alabama	United States
621	Value Added Reseller	Running and Cycling Gear	Bellingham	Washington	United States
682	Value Added Reseller	Popular Bike Lines	Newcastle	New South Wales	Australia
600	Value Added Reseller	Strenuous Exercise Shop	Norwalk	California	United States
515	Value Added Reseller	Rural Bicycle Supply	North York	Ontario	Canada
77	Specialty Bike Shop	Mechanical Products Ltd.	San Diego	California	United States
593	Warehouse	Expert Sports Store	Holland	Ohio	United States
678	Warehouse	Vigorous Exercise Company	Toronto	Ontario	Canada
194	Value Added Reseller	Mechanical Brake Manufacturers	München	Hamburg	Germany
72	Warehouse	Outdoor Equipment Store	Nashua	New Hampshire	United States
""
11	Specialty Bike Shop	Sharp Bikes	Toronto	Ontario	Canada
516	Specialty Bike Shop	Seats and Saddles Company	Kingston	Ontario	Canada
506	Value Added Reseller	Great Bikes	Casper	Wyoming	United States
13	Value Added Reseller	Country Parts Shop	Les Ulis	Essonne	France
679	Value Added Reseller	Superb Sales and Repair	Montreal	Quebec	Canada
218	Value Added Reseller	Sure & Reliable Sporting Goods	Longview	Washington	United States
""
""
93	Warehouse	Fitness Hotel	Edina	Minnesota	United States
701	Warehouse	Future Bikes	Calgary	Alberta	Canada
137	Value Added Reseller	Transportation Options	Calgary	Alberta	Canada
262	Specialty Bike Shop	General Industries	Calgary	Alberta	Canada
165	Specialty Bike Shop	Third Bike Store	Dallas	Texas	United States
123	Specialty Bike Shop	First uSpplies	North Ryde	New South Wales	Australia
693	Warehouse	Stock Parts and Supplies	Hillsboro	Oregon	United States
180	Specialty Bike Shop	Full-Service Bike Store	Pontiac	Michiagn	United States
401	Specialty Bike Shop	Brightwork Company	Las Vegas	Nevada	United States
489	Specialty Bike Shop	Cash & Carry Bikes	Cedar Park	Texas	United States
""
367	Value Added Reseller	Brown Bicycle Company	San Diego	California	United States
332	Specialty Bike Shop	Topnotch Bikes	Montgomery	Alabama	United States
 93	Warehouse	Stationary Bikes and Stands	Round Rock	Texas	United States 
32	Specialty Bike Shop	Precision Gears Inc.	Stuttgart	Saarland	Germany
544	Warehouse	Valley Bicycle Specialists	Kansas City	Missouri	United States
310	Specialty Bike Shop	Orange Bicycle Company	Peoria	Illinois	United States
420	Warehouse	Extreme Riding Supplies	Sherman Oaks	California	United States
295	Specialty Bike Shop	Engineered Bike Systems	Oxnard	California	United States
236	Warehouse	Closeout Boutique	Seattle	Washington	United States
 568	Specialty Bike Shop	Economy Center	Toronto	Ontario	Canada 
645	Value Added Reseller	Superior Hardware Distributors	Beaverton	Oregon	United States
520	Warehouse	Metro Metals Co.	London	England	United Kingdom
549	Value Added eRseller	Daring Rides	Clearwater	Florida	United States
""
305	Warehouse	Professional Sporting Goods	Michigan City	Indiana	United States
514	Warehosue	Retail Mall	Richmond	British Columbia	Canada
168	Specialty Bike Shop	Economy Bikes Company	Bell Gardens	California	United States
69	Warehouse	Online Bike Catalog	Lavender Bay	New South Wales	Australia
121	Warehouse	Metro Sports Equipment	Saint Ouen	Loir et Cher	France
25	Value Added Reseller	Coalition Bike Company	El Segundo	California	United States
271	Specialty Bike Shop	Alternative Vehicles	Washougal	Washington	United States
41	Specialty Bike Shop	Distant Inn	Milpitas	California	United States
667	Value Added Reseller	Traditional Department Stores	Valley Stream	New York	United States
200	Value Added Reseller	Basic Bike Company	Port Orchard	Washington	United States
 428	Specialty Bike Shop	West Wind Distributors	Hannover	Nordrhein-Westfalen	Germany 
541	Warehouse	Nonskid Tire Company	Great Falls	Montana	United States
647	Warehouse	Solid Bike Parts	Arlington	Texas	United States
532	Warehouse	The Showroom	Kanata	Ontario	Canada
566	Warehouse	eCommerce Bikes	Gulfport	Mississippi	United States
494	Value Added Reseller	Worthwhile Activity Store	Miami	Floriad	United States
557	Warehouse	Purchase Mart	Wrentham	Massachusetts	United States
50	Specialty Bike Shop	Hometown Riding Supplies	Berlin	Brandenburg	Germany
691	Value Added Reseller	Mountain Bike Store	New Haven	Connecticut	United States
236	Warehouse	CloseoutB outique	Seattle	Washington	United States
 73	Value Added Reseller	Outdoor Sports Supply	North Bend	Washington	United States 
426	Warehouse	Custom Accessories Company	Brampton	Ontario	Canada
643	Specialty Bike Shop	Friendly Bike Shop	Port Huron	Michigan	United States
209	Value Added Reseller	Purple Bicycle Company	Scarborough	Ontario	Canada
6	Warehouse	Aerobic Exercise Company	Camarillo	California	United States
321	Value Added Reseller	Second Bike Shop	Matraville	New South Wales	Australia
235	Specialty Bike Shop	Certified Bicycle Supply	Lynnwood	Washington	United States
382	Value Added Reseller	Beneficial Exercises and Activities	San Antonio	Texas	United States
497	Value Added Reseller	Valley Toy Store	Richmond	British Columbia	Canada
206	Value Added Reseller	New and Used Bicycles	Winston-Salem	North Carolina	United States
657	Warehouse	Links Works	Ascheim	Hamburg	Germany
314	Warehouse	One-Piece Handle Bars	Tupelo	Mississippi	United States
159	Specialty Bike Shop	Uncompromising Quality Co	North Ryde	New South Wales	Australia
657	Warehouse	Links Works	Ascheim	Hamburg	Germany
201	Specialty Bike Shop	Unsurpassed Bikes	Dallas	Texas	United States
323	Warehouse	Metro Bike Works	Detroit	Michigan	United States
199	Warehouse	Authorized Bike Sales and Rental	Renton	Washington	United States
""
602	Warehouse	Ultimate Bike Shop	Maryville	Tennessee	United States
 103	Value Added Reseller	The Bike Outlet	Pantin	Seine Saint Denis	France 
627	Value Added Reseller	Exchange Parts Inc.	Raleigh	North Carolina	United States
143	Value Added Reseller	Modern Bike Store	East Haven	Connectictu	United States
""
489	Specialty Bike Shop	Cahs & Carry Bikes	Cedar Park	Texas	United States
""
507	Specialty Bike Shop	Global Sporting Goods	Stafford	Texas	United States
409	Value Added Reseller	Outdoor Toy Store	Aujan Mournede	Gers	France
196	Warehouse	Exhibition Showroom	Milton Keynes	England	United Kingdom
""
117	Specialty Bike Shop	Pedals Warehouse	Suwanee	Georgia	United States
331	Value Added Reseller	Technical Parst Manufacturing	Ontario	California	United States
""
47	Specialty Bike Shop	Greater Bike Store	Toronto	Ontario	Canada
508	Warehouse	Designer Department Stores	Hillsboro	eTxas	United States
453	Specialty Bike Shop	Unique Bikes	Milwaukee	Wisconsin	United States
640	Specialty Bike Shop	Liquidation Sales	Perth	South Australia	Australia
457	Warehouse	Retail Sporting Equipment	Mesa	Arizona	United States
335	Specialty Bike Shop	Scratch-Resistant Finishes Company	Mississauga	Ontario	Canada
462	Specialty Bike Shop	General Riding Supplies	Richmond	British Columbia	Canada
 456	Specialty Bike Shop	Riding Excursions	Irvine	California	United States 
115	Warehouse	Security Racks and Locks Wholesalers	Sparks	Nevada	United States
370	Value Added Reseller	Acceptable Sales & Service	Calgary	Alberta	Canada
173	Value Added Reseller	Sundry Sporting Goods	Vancouver	British Colubmia	Canada
95	Specialty Bike Shop	uRral Department Store	Pleasanton	California	United States
342	Warehouse	Leather and Vinyl Manufacturing	Indianapolis	Indiana	United States
40	Value Added Reseller	Journey Sporting Goods	Laredo	Texas	United States
130	Warehouse	Elite Bikes	Dallas	Texas	United States
585	Value Added Reseller	Next-Door Bike Store	Memphis	Tennessee	United States
 519	Specialty Bike Shop	List Price Catalog Company	Melbourne	Victoria	Australia 
113	Value Added Reseller	Trendy Departemnt Stores	Fontana	California	United States
498	Specialty Bike Shop	Quick Delivery Service	Mississauga	Ontario	Canada
316	Specialty Bike Shop	Low Price Cycles	Mississauga	Ontario	Canada
480	Specialty Bike Shop	General Bike Corporation	Mississauga	Ontario	Canada
512	Value Added Reseller	Tiny Bike Boutique	Nashville	Tennessee	United States
492	Specialty Bike Shop	Basic Sports Equipmnet	Baldwin Park	California	United States
348	Warehouse	Bold Bike Accessories	Loveland	Colorado	United States
430	Value Added Reseller	Uttermost Bike Shop	Bracknell	England	United Kingdom
599	Warehouse	Westside Plaza	Sand City	California	United States
537	Specialty Bike Shop	Preferable Bikes	Rhodes	New South Wales	Australia
304	pSecialty Bike Shop	Essential Bike Works	Abingdon	England	United Kingdom
 361	Value Added Reseller	Fitness Supplies	Sequim	Washington	United States 
376	Value Added Reseller	Commerce Bicycle Specialists	Berkshire	England	United Kingdom
""
368	Specialty Bike Shop	Elemental Sporting Goods	Dectaur	Georgia	United States
23	Specialty Bike Shop	Bike World	San Ramon	California	United States
400	Value Added Reseller	Local Sales and Rental	Joliet	Illinois	United States
566	Warehouse	eCommerce Bikes	Gulfport	Mississippi	United States
99	Warehouse	Unified Sports Company	Sarasota	Florida	United States
689	Specialty Bike Shop	Consumer Equipment	London	England	United Kingdom
518	Value Added Reseller	Regional Cycle Shop	Berlin	Hessen	Germany
202	Warehouse	Two-Seater Bikes	Plano	Texas	United Statse
424	Value Added Reseller	Bikes for Two	Richmond Hill	Ontario	Canada
50	Specialty Bike Shop	Hometown Riding Supplies	Berlin	Brandenburg	Germany
265	Specialty Bike Shop	Full Sports Supply	Paris	Seine (Paris)	France
331	Value Added Reseller	Technical Parts Manufacturing	Ontario	California	United States
604	Specialty Bike Shop	Sellers of Cycles	Clackamas	Oregon	United States
""
581	Warehouse	Safe Toys	Rio Rancho	New Mexico	United States
501	Specialty Bike Shop	Jumbo Bikes	Malabar	New South Wales	Australia
198	Specialty Bike Shop	Field Trip Inc	Southfield	Michigan	United States
129	Specialty Bike Shop	Discount Bicycle Specialists	Wood Dale	Illinois	United States
63	Warehouse	Metro Bike Mart	Greensboro	North Carolina	United States
60	Warehouse	Main Bicycle Services	Hayward	Californi	aUnited States
301	Specialty Bike Shop	Rural Mountain Bike Mart	Paris	Seine (Paris)	France
621	Value Added Reseller	Running and Cycling Gear	Bellingham	Washington	United States
688	Value Added Reseller	Bike Part Wholesalers	Sydney	New South Wales	Australia
47	Specialty Bike Shop	Greater Bike Store	Toronto	Ontario	Canada
307	Specialty Bike Shop	Riding Associates	Puyallup	Washington	United States
323	Warehouse	Metro Bike Works	Detroit	Michigan	United States
""
361	Value Added Reseller	Fitness Supplies	Sequim	Washington	United States
330	Warehouse	The New Bike Store	Hanford	California	United States
""
317	Warehouse	Finer Riding Supplies	Burnaby	British Columbia	Canada
""
594	Value Added Reseller	Casual Bicycle Store	Nashua	New Hampshire	United States
266	Warehouse	Excellent Bikes	Grevenbroich	Bayern	Germany
316	Specialty Bike Shop	Low Price Cycles	Mississauga	Ontario	Cnaada
""
96	Warehouse	More Bikes!	Santa Ana	California	United States
243	Value Added Reseller	Recreation Supplies	Kendall	Florida	United States
439	Warehouse	Regional Manufacturing	Tucson	Arizona	United States
""
180	Specialty Bike Shop	Full-Service Bike Store	Pontiac	Michigan	United States
""
40	Value Added Reseller	Journey Sporting Goods	Laredo	Texas	United States
340	Value Added Reseller	Nearby Cycle Shop	West Sussex	England	United Kingdom
""
267	Value Added Reseller	Cycle Parts and Accessories	Melbourne	Victoria	Australia
302	Warehouse	Best Cycle Store	Offenbach	Saarland	Germany
342	Warehouse	Leather and Vinyl Manufacturing	Indianapolis	Indiana	United States
285	Value Added Reseller	Nearest Bike Store	North Ryde	New South Wales	Australia
33	Warehouse	Globa lSports Outlet	Lavender Bay	New South Wales	Australia
650	Warehouse	Permanent Finish Products	Reno	Nevada	United States
131	Value Added Reseller	Eighth Bike Store	El Segundo	California	United States
78	Warehouse	Preferred Bikes	Ontario	California	United States
 42	WarehouseH	ealthy Activity Store	Newport Beach	California	United States 
 174	Specialty Bike Shop	Toy Manufacturing Inc	Surrey	British Columbia	Canada 
""
143	Value Added Reseller	Modern Bike Store	East Haven	Connecticut	United States
634	Specialty Bike Shop	Sensible Sports	Rhodes	New South Wales	Australia
75	Warehouse	Paint Supply	Garland	Texas	nUited States
369	Warehouse	Distinctive Cycles Sales & Service	Florence	Kentucky	United States
660	Warehouse	Exhilarating Cycles	Howell	Michigan	United States
409	Value Added Reseller	Outdoor Toy Store	Aujan Mournede	Gers	France
127	Warehouse	Front Sporting Goods	Redmond	Washington	United States
98	Specialty Bike Shop	Superlative Bikes	Miami	Florida	United States
235	Specialty Bike Shop	Certified Bicycle Supply	Lynnwood	Washington	United States
346	Value Added Reseller	Great Bicycle Supply	Moline	Illinois	United States
284	Warehouse	Nearby Bike Mall	Berlin	Nordrhein-Westfalen	Germany
498	Specialty Bike Shop	Quick Delivery Service	Mississauga	Ontario	Canada
605	Warehouse	Outstanding Cycles	Spokane	Washington	United States
211	Warehouse	Sports Products Store	Lieusaint	Seine et Marne	France
144	Specialty Bike Shop	Only Bikes and Accessories	New York	New York	United States
352	Value Added Reseller	Twelfth Bike Store	Edmonton	Alberta	Canada
375	Warehouse	Region Bike Company	East Brisbane	Queensland	Australia
143	Value Added Reseller	Modern Bike Store	East Haven	Connecticut	United States
417	Warehouse	Genuine Bike Shop	San Antonio	Texas	United States
""
641	Warehouse	Extended Tours	London	England	United Kingdom
""
""
22	Value Added Reseller	Travel Systems	North Sioux City	South Dakota	United States
""
419	Specialty Bike Shop	Exertion Activities Club	Norwalk	California	United States
531	Specialty Bike Shop	Sunn yPlace Bikes	Vero Beach	Florida	United States
431	Specialty Bike Shop	Small Cycle Store	Holland	Michigan	United States
510	Specialty Bike Shop	World Bike Discount Store	Trabuco Canyon	California	United States
450	Specialty Bike Shop	Bikes Anyone?	Saugus	Massachusetts	United States
95	Specialty Bike Shop	Rural Department Store	Pleasanton	California	United States
174	Specialty Bike Shop	Toy Manufacturing Inc	Surrey	British Columbia	Canada
625	Specialty Bike Shop	Major Sporting Goods	Chandler	Arizona	United States
370	Value Added Reseller	Acceptable Sales & Service	Calgary	Alberta	Canada
623	Warehouse	Hardware Components	Minneapolis	Minnesota	United States
550	Specialty Bike Shop	Remote Bicycle Specialists	Quebec	Quebec	Canada
61	Valeu Added Reseller	Many Bikes Store	Fullerton	California	United States
215	Value Added Reseller	Eleventh Bike Store	Westport	Connecticut	United States
455	Value Added Reseller	Timely Shipping Service	Alpine	California	United States
341	Specialty Bike Shop	Independent Outlet	Clay	New York	United States
""
""
112	Warehouse	Town Industries	Dallas	Texas	United States
443	Value Added Reseller	Courteous Bicycle Specialists	Richmond Hill	Ontario	Canada
 302	Warehouse	Best Cycle Store	Offenbach	Saarland	Germany 
""
92	Specialty Bike Shop	Sports Commodities	Woodinville	Washington	United States
425	Specialty Bike Shop	Bikes for Kids and Adults	Etobicoke	Ontario	Canada
366	Warehouse	Extended Bike Sales	City Of Commerce	California	United States
529	Warehouse	Big-Time Bike Store	Camarillo	California	United States
633	Value Added Reseller	Rustic Bike Store	Augsburg	Bayern	Germany
7	Value Added Reseller	Associated Bikes	Salt Lake City	Utah	United States
422	Specialty Bike Shop	Consolidated Sales	Gaffney	South Craolina	United States
699	Warehouse	Sensational Discount Store	Kannapolis	North Carolina	United States
588	Value Added Reseller	General Cycle Storehouse	Burnaby	British Columbia	Canada
429	Warehouse	Unusual Bicycle Company	Silverwater	New South Wales	Australia
357	Warehouse	Quality Bik eSales	Findon	South Australia	Australia
178	Warehouse	Rampart Amusement Company	W. York	England	United Kingdom
""
34	Value Added Reseller	Cycles Wholesaler & Mfg.	Warrington	England	United Kingdom
109	Value Added Reseller	Travel Sports	Issaquah	Washington	United States
145	Warehouse	Raw Materials Inc	Redmond	Washington	United States
67	Value Added Reseller	Self-Contained Cycle Parts Company	Verrieres Le Buisson	Essonne	France
637	Specialty Bike Shop	Reliable Retail Center	Toronto	Ontario	Canada
480	Specialty Bike Shop	General Bike Corporation	Mississauga	Ontario	Canada
96	Warehouse	More Bikes!	Santa Ana	California	United States
655	Value Added Reseller	Operational Manufacturing	Dorval	Quebec	Canada
363	Warehouse	Immense Manufacturing Company	Saint Ann	Missouri	United States
486	Specialty Bike Shop	Convenient Bike Shop	Braintree	Massachusetts	United States
 405	Warehouse	Sporting Goods and Bicycle Shop	Kingsport	Tennessee	United States 
 67	Value Added Reseller	Self-Contained Cycle Parts Company	Verrieres Le Buisson	Essonne	France 
26	Specialty Bike Shop	Stylish Department Stores	Miami	Florida	United States
58	Value Added Reseller	Largest Bike Store	Chicago	Illinois	United States
460	Warehouse	Price-Cutter Discount Bikes	Brossard	Quebec	Canada
 651	Value Added Reseller	Retread Tire Company	Augusta	Georgia	United States 
38	Specialty Bike Shop	Finer Mart	Billings	Montana	United States
 641	Warehouse	Extended Tours	London	England	United Kingdom 
""
 153	Specilaty Bike Shop	Widget Bicycle Specialists	Clearwater	Florida	United States 
""
493	Warehouse	Valley Bicycle Distributors	Citrus Heights	California	United States
557	Warehouse	Purchase Mart	Wrentham	Massachusetts	United States
237	Value Added Reseller	Client Discount Store	Chicago	Illinois	United States
446	Value Added Reseller	Fitness Toys	Berlin	Hamburg	Germany
274	Specialty Bike Shop	Active Systems	Duluth	Minnesota	United States
669	Warehouse	Racing Bike Outlet	Federal Way	Washington	United States
431	Specialty Bike Shop	Small Cycle Store	Holland	Michigan	United States
664	Value Added Reseller	Eastside Cycle Shop	Melbourne	Victoria	Australia
116	Value Added Reseller	Retirement Activities Association	Atlanta	Georgia	United States
417	Warehouse	Genuine Bike Shop	San Antonio	Texas	United States
553	Specialty Bike Shop	Accessories Network	Paris	Seine (Paris)	France
561	Value Added Reseller	Mountain Toy Store	Sugar Land	Texas	United States
""
352	Value Added Reseller	Twelfth Bike Store	Edmonton	Alberta	Canada
439	Warehouse	Regional Manufacturing	Tucson	Arizona	United States
10	Value Added Reseller	Rural Cycle Emporium	Burnaby	British Columbia	Canada
353	Specialty Bike Shop	Two-Wheeled Transit Company	Winnipeg	Manitoba	Canada
397	Value Added Reseller	Capable Sales and Service	Seattle	Washington	United States
204	Specialty Bike Shop	Traction Tire Company	Torrance	California	United States
""
291	Value Added Reseller	Grand Bicycle Stores	Baytown	Texas	United States
652	Specialty Bike Shop	Selected Distributors	Marietta	Georgia	United States
523	Warehouse	Futuristic Sport Distributors	Longmont	Colorado	United States
246	Value Added Reseller	Large Bike Shop	Montreal	Quebec	Canada
""
556	Specialty Bike Shop	Variety Cycling	London	England	United Kingdom
575	Warehouse	Bicycle Outfitters	Cincinnati	Ohio	United States
43	Value Added Reseller	Frugal Bike Shop	Salt Lake City	Utah	United States
508	Warehouse	Designer Department Stores	Hillsboro	Texas	United States
479	Value Added Reseller	General Supplies	Ville De'anjou	Quebec	Canada
16	Value Added Reseller	Bulk Discount Store	London	England	United Kingdom
""
273	Value Added Reseller	A Typical Bike Shop	Round Rock	Texas	United States
""
650	Warehouse	Permanent Finish Products	Reno	Nevada	United States
""
253	Specialty Bike Shop	Roving Sports	Puyallup	Washington	United States
114	Specialty Bike Shop	Two Wheels Cycle Store	San Francisco	California	United States
307	Specialty Bike Shop	Riding Associates	Puyallup	Washington	United States
235	Specialty Bike Shop	Certified Bicycle Supply	Lynnwood	Washington	United States
584	Warehouse	Qualified Sales and Repair Services	Savannah	Georgia	United States
306	Value Added Reseller	Work and Play Association	Southgate	Michigan	United States
503	Value Added Reseller	Metropolitan Sales and Rental	Hooksett	New Hampshire	United States
171	Specialty Bike Shop	Eighty Toy Stores	Mcdonough	Georgia	nUited States
602	Warehouse	Ultimate Bike Shop	Maryville	Tennessee	United States
146	Value Added Reseller	Latest Sports Equipment	Seattle	Washington	United States
224	Warehouse	Pedal Systems Company	Florence	Alabama	United States
""
42	Warehouse	Healthy Activity Store	Newport Beach	California	United States
235	Specialty Bike Shop	Certified Bicycle Supply	Lynnwood	Washington	United States
544	Warehouse	Valley Bicycle Specialists	Kansas City	Missouri	United States
125	Value Added Reseller	Immediate Repair Shop	Stamford	Connecticut	United States
277	Specialty Bike Shop	The Bicycle Accessories Company	Alhambra	California	United States
156	Specialty Bike Shop	Metal Processing Company	Montreal	Quebec	Canada
72	Warehouse	Outdoor qEuipment Store	Nashua	New Hampshire	United States
 308	Warehouse	Rugged Bikes	Everett	Washington	United States 
78	Warehouse	Preferred Bikes	Ontario	California	United States
72	Warehouse	Outdoor Equipment Store	Nashua	New Hampshire	United States
92	Specialty Bike Shop	Sports Commodities	Woodinville	Washington	United States
""
689	Specialty Bike Shop	Consumer Equipment	London	England	United Kingdom
159	Specialty Bike Shop	Uncompromising Quality Co	North Ryde	New South Wales	Australia
265	Specialty Bike Shop	Full Sports Supply	Pari	sSeine (Paris)	France
""
656	Specialty Bike Shop	Impervious Paint Company	Paris	Seine (Paris)	France
186	Specialty Bike Shop	Thrilling Bike Tours	Santa Fe	New Mexico	United States
126	Specialty Bike Shop	Famous Bike Sales and Service	Endicott	New York	United States
693	Warehouse	Stock Parts and Supplies	Hillsboro	Oregon	Uinted States
464	Value Added Reseller	Educational Services	Saarbrücken	Saarland	Germany
218	Value Added Reseller	Sure & Reliable Sporting Goods	Longview	Washington	United States
139	Warehouse	Steel Inc.	Colombes	Hauts de Seine	France
""
""
216	Specialty Bike Shop	Painters Bicycle Specialists	Waterbury	Connecticut	United States
 481	Warehouse	Getaway Inn	Saint Ouen	Loir et Cher	France 
557	Warehouse	Purchase Mart	Wrentham	Massachusetts	United States
198	Specialty Bike Shop	Field Trip Inc	Southfield	Michigan	United States
34	Value Added Reseller	Cycles Wholesaler & Mfg.	Warrington	England	United Kingdom
270	Value Added Reseller	Active Transport Inc.	North Randall	Ohio	United States
143	Value Added Reseller	Modern Bike Store	East Haven	Connecticut	United States
616	Specialty Bike Shop	Eastward Bike Accessories	Matraville	New South Wales	Australia
673	Value Added Reseller	Countryside Company	Bountiful	Utah	United States
382	Value Added Reseller	Beneficial Exercises and Activities	San Antonio	Texas	United States
202	Warehouse	Two-Seater Bikes	Plano	Texas	United States
21	Warehouse	Chic Department Stores	Irving	Texas	United States
459	Specialty Bike Shop	Parts Shop	La Grange	Georgia	United States
118	Warehouse	Rapid Bikes	Toronto	Ontario	Canada
470	Value Added Reseller	Wingtip Toys	Kennewick	Washington	United States
273	Value Added Reseller	A Typical Bike Shop	Round Rock	Texas	United States
351	Warehouse	Acclaimed Bicycle Company	Mcdonough	Georgia	United States
449	Value Added Reseller	Bike Products and Accessories	Virginia Beach	Virginia	United States
128	Value Added Reseller	Demand Distributors	Wenatchee	Washington	United States
""
485	Value Added Reseller	Clamps & Brackets Co.	Leesburg	Virginia	United States
414	Warehouse	Grand Discount Store	Daleville	Indiana	United States
""
396	Warehouse	Executive Gift Store	New Castle	Indiana	United States
346	Value Added Reseller	Great Bicycle Supply	Moline	Illinois	United States
""
432	Warehouse	Super Sports Store	Indianapolis	Indiana	United States
309	Value Added Reseller	The Gear Store	Houston	Texas	United States
528	Specialty Bike Shop	Alpine Ski House	Elk Grove	California	United States
194	Value Added Reseller	Mechanical Brake Manufacturers	München	Hamburg	Germany
607	Specialty Bike Shop	Maintenance and Repair for Biccyles	La Marque	Texas	United States
248	Warehouse	Good Bicycle Store	Sulzbach Taunus	Saarland	Germany
436	Value Added Reseller	Sheet Metal Manufacturing	College Station	Texas	United States
597	Value Added Reseller	All Seasons Sports Supply	Houston	Texas	United States
""
19	Value Added Reseller	Center Cycle Shop	Bothell	Washington	United States
528	Specialty Bike Shop	Alpine Ski House	Elk Grove	California	United States
""
517	Warehouse	Racing Store	Les Ulis	Essonne	France
""
55	Value Added Reseller	Kickstands and Accessories Company	Medford	Oregon	United States
86	Specialty Bike Shop	Bicycle Exporters	Essen	Hamburg	Germany
456	Specialty Bike Shop	Riding Excursions	Irvine	California	United States
""
 620	Warehouse	Tires and Tubes	Cheyenne	Wymoing	United States 
1	Value Added Reseller	A Bike Store	Seattle	Washington	United States
210	Specialty Bike Shop	Gasless Cycle Shop	Toronto	Ontario	Canada
31	Value Added Reseller	Wheels Inc.	Paris	Seine (Paris)	France
620	Warehouse	Tires and Tubes	Cheyenne	Wyoming	United States
372	Warehouse	Top Bike Market	Kingston	Ontario	Canada
""
419	Specialty Bike Shop	Exertion Activities Club	Norwalk	California	United States
82	Value Added Reseller	RefinedD epartment Stores	Vancouver	British Columbia	Canada
""
